Date,Description,Amount,Transaction_Type,Category
2022-01-17,Cafe Coffee Day,441.0,DEBIT,Coffee Shops
2022-01-17,Luxury Zara,26763.0,DEBIT,Shopping
2022-01-18,Dominos,1196.0,DEBIT,Restaurants
2022-01-18,Water Bill,604.0,DEBIT,Utilities
2022-01-18,Amazon Fresh,319.0,DEBIT,Groceries
2022-01-18,BigBasket,590.0,DEBIT,Groceries
2022-01-19,Cafe Coffee Day,196.0,DEBIT,Coffee Shops
2022-02-01,Airtel Postpaid,546.0,DEBIT,Utilities
2022-02-01,Subway,922.0,DEBIT,Restaurants
2022-02-01,Indian Oil,155.0,DEBIT,Transport
2022-02-01,Uber Ride,456.0,DEBIT,Transport
2022-02-01,Ola Cab,136.0,DEBIT,Transport
2022-02-01,Adani Electricity,490.0,DEBIT,Utilities
2022-02-01,Monthly Paycheck,106365.0,CREDIT,Salary
2022-02-02,Apartment Maintenance,22208.0,DEBIT,Rent
2022-02-02,Steam Game,714.0,DEBIT,Entertainment
2022-02-02,Uber Ride,500.0,DEBIT,Transport
2022-02-02,Starbucks,425.0,DEBIT,Coffee Shops
2022-02-02,Auto Rickshaw,135.0,DEBIT,Transport
2022-02-03,HP Petrol Pump,141.0,DEBIT,Transport
2022-02-03,Croma,3441.0,DEBIT,Shopping
2022-02-03,BigBasket,912.0,DEBIT,Groceries
2022-02-03,DMart,615.0,DEBIT,Groceries
2022-02-04,Reliance Fresh,427.0,DEBIT,Groceries
2022-02-04,HP Petrol Pump,104.0,DEBIT,Transport
2022-02-04,Swiggy,385.0,DEBIT,Restaurants
2022-02-04,Mumbai Metro,484.0,DEBIT,Transport
2022-02-04,Auto Rickshaw,260.0,DEBIT,Transport
2022-02-05,HP Petrol Pump,88.0,DEBIT,Transport
2022-02-05,Reliance Fresh,837.0,DEBIT,Groceries
2022-02-05,Taj Hotel,5345.0,DEBIT,Travel
2022-02-05,Groww SIP,6942.0,DEBIT,Investment
2022-02-05,Flipkart,1550.0,DEBIT,Shopping
2022-02-06,Starbucks,202.0,DEBIT,Coffee Shops
2022-02-06,Local Cafe,1442.0,DEBIT,Restaurants
2022-02-06,Starbucks,247.0,DEBIT,Coffee Shops
2022-02-06,IRCTC,101.0,DEBIT,Transport
2022-02-06,Amazon Fresh,1136.0,DEBIT,Groceries
2022-02-07,Personal Loan EMI,10809.0,DEBIT,EMI
2022-02-07,DMart,409.0,DEBIT,Groceries
2022-02-07,Blinkit,1194.0,DEBIT,Groceries
2022-02-07,Local Grocery,623.0,DEBIT,Groceries
2022-02-07,BEST Bus Ticket,481.0,DEBIT,Transport
2022-02-08,Auto Rickshaw (High Value),24641.0,DEBIT,Transport
2022-02-08,Auto Rickshaw,353.0,DEBIT,Transport
2022-02-08,Burger King,1768.0,DEBIT,Restaurants
2022-02-08,Swiggy,1001.0,DEBIT,Restaurants
2022-02-08,Blue Tokai,342.0,DEBIT,Coffee Shops
2022-02-08,Amazon,771.0,DEBIT,Shopping
2022-02-08,HP Petrol Pump,310.0,DEBIT,Transport
2022-02-09,Auto Rickshaw,209.0,DEBIT,Transport
2022-02-09,Third Wave Coffee,228.0,DEBIT,Coffee Shops
2022-02-09,Office Canteen Coffee,186.0,DEBIT,Coffee Shops
2022-02-09,IRCTC,176.0,DEBIT,Transport
2022-02-09,Auto Rickshaw,376.0,DEBIT,Transport
2022-02-10,Swiggy,1536.0,DEBIT,Restaurants
2022-02-10,Office Canteen Coffee,286.0,DEBIT,Coffee Shops
2022-02-10,Dinner out,580.0,DEBIT,Restaurants
2022-02-10,Decathlon,2155.0,DEBIT,Shopping
2022-02-10,Auto Rickshaw,249.0,DEBIT,Transport
2022-02-10,Amazon Fresh,875.0,DEBIT,Groceries
2022-02-10,Dominos,996.0,DEBIT,Restaurants
2022-02-10,Myntra Return Refund,732.0,CREDIT,Refund
2022-02-11,Zomato,916.0,DEBIT,Restaurants
2022-02-11,BEST Bus Ticket,71.0,DEBIT,Transport
2022-02-11,BigBasket,873.0,DEBIT,Groceries
2022-02-11,BookMyShow,394.0,DEBIT,Entertainment
2022-02-11,Ola Cab,153.0,DEBIT,Transport
2022-02-12,Mumbai Metro,39.0,DEBIT,Transport
2022-02-12,Donation,120.0,DEBIT,Miscellaneous
2022-02-12,Reliance Fresh,1057.0,DEBIT,Groceries
2022-02-12,DMart,199.0,DEBIT,Groceries
2022-02-12,McDonalds,1517.0,DEBIT,Restaurants
2022-02-12,Zepto,952.0,DEBIT,Groceries
2022-02-12,BEST Bus Ticket,525.0,DEBIT,Transport
2022-02-12,Zomato Refund,399.0,CREDIT,Refund
2022-02-13,Dominos,459.0,DEBIT,Restaurants
2022-02-13,NetMeds,917.0,DEBIT,Medical
2022-02-13,Amazon,524.0,DEBIT,Shopping
2022-02-13,Starbucks,368.0,DEBIT,Coffee Shops
2022-02-13,IRCTC,485.0,DEBIT,Transport
2022-02-13,Dominos,923.0,DEBIT,Restaurants
2022-02-13,Swiggy,1497.0,DEBIT,Restaurants
2022-02-14,Mumbai Metro,340.0,DEBIT,Transport
2022-02-14,Cafe Coffee Day,230.0,DEBIT,Coffee Shops
2022-02-14,Croma,3418.0,DEBIT,Shopping
2022-02-14,Third Wave Coffee,348.0,DEBIT,Coffee Shops
2022-02-15,Dominos,1029.0,DEBIT,Restaurants
2022-02-15,Mahanagar Gas,1652.0,DEBIT,Utilities
2022-02-15,Milk Subscription,760.0,DEBIT,Groceries
2022-02-15,Uber Ride,589.0,DEBIT,Transport
2022-02-16,Zomato,1324.0,DEBIT,Restaurants
2022-02-16,Donation,963.0,DEBIT,Miscellaneous
2022-02-16,Dominos,554.0,DEBIT,Restaurants
2022-02-17,Indian Oil,483.0,DEBIT,Transport
2022-02-17,Uber Ride,314.0,DEBIT,Transport
2022-02-17,JioCinema,238.0,DEBIT,Entertainment
2022-02-17,IRCTC,288.0,DEBIT,Transport
2022-02-18,Auto Rickshaw,441.0,DEBIT,Transport
2022-02-18,Local Grocery,432.0,DEBIT,Groceries
2022-02-18,Amazon,3055.0,DEBIT,Shopping
2022-02-18,Subway,1598.0,DEBIT,Restaurants
2022-02-18,Subway,1014.0,DEBIT,Restaurants
2022-02-18,IRCTC,424.0,DEBIT,Transport
2022-02-18,DMart,102.0,DEBIT,Groceries
2022-02-19,Laundry,983.0,DEBIT,Miscellaneous
2022-02-19,Zara,2849.0,DEBIT,Shopping
2022-02-19,DMart,609.0,DEBIT,Groceries
2022-02-19,Mumbai Metro,234.0,DEBIT,Transport
2022-02-19,Indian Oil,249.0,DEBIT,Transport
2022-02-20,Local Clinic Checkup,1813.0,DEBIT,Medical
2022-02-20,Subway,507.0,DEBIT,Restaurants
2022-02-20,Milk Subscription,119.0,DEBIT,Groceries
2022-02-20,Mumbai Metro,416.0,DEBIT,Transport
2022-02-20,Cafe Coffee Day,242.0,DEBIT,Coffee Shops
2022-02-20,Zepto,1137.0,DEBIT,Groceries
2022-02-21,Third Wave Coffee,486.0,DEBIT,Coffee Shops
2022-02-21,Amazon Fresh,562.0,DEBIT,Groceries
2022-02-21,HP Petrol Pump,383.0,DEBIT,Transport
2022-02-21,HP Petrol Pump,195.0,DEBIT,Transport
2022-02-22,Mumbai Metro,299.0,DEBIT,Transport
2022-02-22,Auto Rickshaw,260.0,DEBIT,Transport
2022-02-23,Blue Tokai,168.0,DEBIT,Coffee Shops
2022-02-27,Fiverr Payout,12476.0,CREDIT,Freelancing
2022-03-01,Salary Credit,104378.0,CREDIT,Salary
2022-03-01,Zepto,502.0,DEBIT,Groceries
2022-03-01,Milk Subscription,289.0,DEBIT,Groceries
2022-03-01,Ola Cab,565.0,DEBIT,Transport
2022-03-01,Dominos,1488.0,DEBIT,Restaurants
2022-03-01,BEST Bus Ticket,129.0,DEBIT,Transport
2022-03-01,McDonalds,656.0,DEBIT,Restaurants
2022-03-02,Monthly House Rent,22747.0,DEBIT,Rent
2022-03-02,BEST Bus Ticket,450.0,DEBIT,Transport
2022-03-02,Indian Oil,415.0,DEBIT,Transport
2022-03-02,HP Petrol Pump,85.0,DEBIT,Transport
2022-03-02,Cafe Coffee Day,173.0,DEBIT,Coffee Shops
2022-03-03,Reliance Fresh,798.0,DEBIT,Groceries
2022-03-03,Uber Ride,537.0,DEBIT,Transport
2022-03-03,IKEA India,1721.0,DEBIT,Shopping
2022-03-03,DMart,838.0,DEBIT,Groceries
2022-03-04,Ola Cab,311.0,DEBIT,Transport
2022-03-04,Local Grocery,795.0,DEBIT,Groceries
2022-03-04,Steam Game,895.0,DEBIT,Entertainment
2022-03-04,Zepto,278.0,DEBIT,Groceries
2022-03-04,Local Cafe,1500.0,DEBIT,Restaurants
2022-03-04,Blinkit,651.0,DEBIT,Groceries
2022-03-04,Reliance Fresh,755.0,DEBIT,Groceries
2022-03-05,Zomato,619.0,DEBIT,Restaurants
2022-03-05,IKEA India,3320.0,DEBIT,Shopping
2022-03-05,Local Cafe,953.0,DEBIT,Restaurants
2022-03-05,Mumbai Metro,289.0,DEBIT,Transport
2022-03-05,Blinkit,669.0,DEBIT,Groceries
2022-03-05,Myntra,2412.0,DEBIT,Shopping
2022-03-05,Mutual Fund SIP,6127.0,DEBIT,Investment
2022-03-05,Third Wave Coffee,449.0,DEBIT,Coffee Shops
2022-03-06,Subway,472.0,DEBIT,Restaurants
2022-03-06,IRCTC,337.0,DEBIT,Transport
2022-03-06,Electricity Board,1250.0,DEBIT,Utilities
2022-03-06,Dinner out,1591.0,DEBIT,Restaurants
2022-03-07,Bajaj Finserv EMI,8641.0,DEBIT,EMI
2022-03-07,HP Petrol Pump,356.0,DEBIT,Transport
2022-03-07,Blue Tokai,406.0,DEBIT,Coffee Shops
2022-03-07,Donation,990.0,DEBIT,Miscellaneous
2022-03-07,Milk Subscription,1173.0,DEBIT,Groceries
2022-03-07,Cafe Coffee Day,497.0,DEBIT,Coffee Shops
2022-03-07,Uber Ride,74.0,DEBIT,Transport
2022-03-08,Reliance Fresh,1130.0,DEBIT,Groceries
2022-03-08,Starbucks,194.0,DEBIT,Coffee Shops
2022-03-08,Auto Rickshaw,272.0,DEBIT,Transport
2022-03-08,Steam Game,490.0,DEBIT,Entertainment
2022-03-08,IRCTC,402.0,DEBIT,Transport
2022-03-08,Starbucks,193.0,DEBIT,Coffee Shops
2022-03-08,Blue Tokai,472.0,DEBIT,Coffee Shops
2022-03-09,Myntra,3355.0,DEBIT,Shopping
2022-03-09,Office Canteen Coffee,476.0,DEBIT,Coffee Shops
2022-03-09,Ola Cab (High Value),25146.0,DEBIT,Transport
2022-03-09,Croma,1517.0,DEBIT,Shopping
2022-03-09,IRCTC,227.0,DEBIT,Transport
2022-03-10,Decathlon,3107.0,DEBIT,Shopping
2022-03-10,Ajio,2337.0,DEBIT,Shopping
2022-03-10,DMart,278.0,DEBIT,Groceries
2022-03-10,Jio Fiber (High Value),28531.0,DEBIT,Utilities
2022-03-11,HP Petrol Pump,503.0,DEBIT,Transport
2022-03-11,Burger King,639.0,DEBIT,Restaurants
2022-03-11,Local Grocery,823.0,DEBIT,Groceries
2022-03-11,Reliance Fresh,613.0,DEBIT,Groceries
2022-03-11,DMart,756.0,DEBIT,Groceries
2022-03-12,Blue Tokai,461.0,DEBIT,Coffee Shops
2022-03-12,Local Grocery,306.0,DEBIT,Groceries
2022-03-12,Gym Subscription,419.0,DEBIT,Miscellaneous
2022-03-12,Mumbai Metro,316.0,DEBIT,Transport
2022-03-12,IRCTC,475.0,DEBIT,Transport
2022-03-12,Amazon Fresh,880.0,DEBIT,Groceries
2022-03-13,Local Grocery,1072.0,DEBIT,Groceries
2022-03-13,HP Petrol Pump,351.0,DEBIT,Transport
2022-03-13,Mahanagar Gas,1947.0,DEBIT,Utilities
2022-03-18,Ola Cab,65.0,DEBIT,Transport
2022-03-21,Amazon Pay Reward,141.0,CREDIT,Cashback
2022-03-29,Uber Ride,34.0,DEBIT,Transport
2022-03-30,Amazon Pay Reward,91.0,CREDIT,Cashback
2022-04-01,Salary Credit,106049.0,CREDIT,Salary
2022-04-01,Cafe Coffee Day,435.0,DEBIT,Coffee Shops
2022-04-01,Reliance Fresh,494.0,DEBIT,Groceries
2022-04-01,Indian Oil,375.0,DEBIT,Transport
2022-04-01,Indian Oil,49.0,DEBIT,Transport
2022-04-02,Jio Fiber,864.0,DEBIT,Utilities
2022-04-02,Reliance Fresh,667.0,DEBIT,Groceries
2022-04-02,Milk Subscription,627.0,DEBIT,Groceries
2022-04-02,BigBasket,852.0,DEBIT,Groceries
2022-04-02,Blinkit,935.0,DEBIT,Groceries
2022-04-02,Child Care,834.0,DEBIT,Miscellaneous
2022-04-02,Monthly House Rent,24457.0,DEBIT,Rent
2022-04-03,Milk Subscription,946.0,DEBIT,Groceries
2022-04-03,INOX,728.0,DEBIT,Entertainment
2022-04-03,Ola Cab,582.0,DEBIT,Transport
2022-04-03,IRCTC,274.0,DEBIT,Transport
2022-04-04,Auto Rickshaw,525.0,DEBIT,Transport
2022-04-04,Air India,3538.0,DEBIT,Travel
2022-04-04,Uber Ride,514.0,DEBIT,Transport
2022-04-04,Uber Ride,543.0,DEBIT,Transport
2022-04-05,Zerodha Funds,8926.0,DEBIT,Investment
2022-04-05,Starbucks,402.0,DEBIT,Coffee Shops
2022-04-05,IKEA India,3932.0,DEBIT,Shopping
2022-04-05,Office Canteen Coffee,291.0,DEBIT,Coffee Shops
2022-04-05,Reliance Fresh,719.0,DEBIT,Groceries
2022-04-06,BEST Bus Ticket,524.0,DEBIT,Transport
2022-04-06,Uber Ride,295.0,DEBIT,Transport
2022-04-06,Cafe Coffee Day,247.0,DEBIT,Coffee Shops
2022-04-06,IRCTC,550.0,DEBIT,Transport
2022-04-07,Cafe Coffee Day,376.0,DEBIT,Coffee Shops
2022-04-07,Myntra,3743.0,DEBIT,Shopping
2022-04-07,Ola Cab,121.0,DEBIT,Transport
2022-04-07,Credit Card Bill,9536.0,DEBIT,EMI
2022-04-07,HP Petrol Pump,163.0,DEBIT,Transport
2022-04-08,HP Petrol Pump,213.0,DEBIT,Transport
2022-04-08,DMart,201.0,DEBIT,Groceries
2022-04-08,Ajio,1869.0,DEBIT,Shopping
2022-04-08,BigBasket,495.0,DEBIT,Groceries
2022-04-09,Subway,1676.0,DEBIT,Restaurants
2022-04-09,Local Clinic Checkup,2328.0,DEBIT,Medical
2022-04-09,Blue Tokai,339.0,DEBIT,Coffee Shops
2022-04-09,Dominos,810.0,DEBIT,Restaurants
2022-04-09,Ola Cab,379.0,DEBIT,Transport
2022-04-09,Uber Ride,234.0,DEBIT,Transport
2022-04-10,Ola Cab,534.0,DEBIT,Transport
2022-04-10,Dinner out,1624.0,DEBIT,Restaurants
2022-04-10,Croma,3852.0,DEBIT,Shopping
2022-04-10,Uber Ride,328.0,DEBIT,Transport
2022-04-10,Milk Subscription,490.0,DEBIT,Groceries
2022-04-10,Steam Game,805.0,DEBIT,Entertainment
2022-04-10,Auto Rickshaw,518.0,DEBIT,Transport
2022-04-11,Dinner out,1606.0,DEBIT,Restaurants
2022-04-11,Office Canteen Coffee,421.0,DEBIT,Coffee Shops
2022-04-11,Mumbai Metro,568.0,DEBIT,Transport
2022-04-11,Local Grocery,193.0,DEBIT,Groceries
2022-04-11,Zepto,275.0,DEBIT,Groceries
2022-04-11,Auto Rickshaw,236.0,DEBIT,Transport
2022-04-11,Milk Subscription,925.0,DEBIT,Groceries
2022-04-12,Office Canteen Coffee,463.0,DEBIT,Coffee Shops
2022-04-12,Blinkit,306.0,DEBIT,Groceries
2022-04-12,Air India,4536.0,DEBIT,Travel
2022-04-12,Ola Cab,207.0,DEBIT,Transport
2022-04-12,Zomato,978.0,DEBIT,Restaurants
2022-04-12,Reliance Fresh,525.0,DEBIT,Groceries
2022-04-12,GPay Cashback,172.0,CREDIT,Cashback
2022-04-13,Decathlon,1648.0,DEBIT,Shopping
2022-04-13,Myntra Return Refund,232.0,CREDIT,Refund
2022-04-13,PVR Cinemas,885.0,DEBIT,Entertainment
2022-04-13,Zomato,383.0,DEBIT,Restaurants
2022-04-13,Amazon,3085.0,DEBIT,Shopping
2022-04-13,Adani Electricity,1389.0,DEBIT,Utilities
2022-04-14,Subway,704.0,DEBIT,Restaurants
2022-04-14,Zomato,1151.0,DEBIT,Restaurants
2022-04-14,JioCinema,453.0,DEBIT,Entertainment
2022-04-14,Indian Oil,307.0,DEBIT,Transport
2022-04-14,McDonalds,530.0,DEBIT,Restaurants
2022-04-14,Starbucks,347.0,DEBIT,Coffee Shops
2022-04-14,Amazon Fresh,1090.0,DEBIT,Groceries
2022-04-15,Ajio,1335.0,DEBIT,Shopping
2022-04-15,Swiggy,1643.0,DEBIT,Restaurants
2022-04-15,Auto Rickshaw,144.0,DEBIT,Transport
2022-04-15,Steam Game,632.0,DEBIT,Entertainment
2022-04-15,Local Grocery,1048.0,DEBIT,Groceries
2022-04-16,Subway,648.0,DEBIT,Restaurants
2022-04-16,Third Wave Coffee,307.0,DEBIT,Coffee Shops
2022-04-16,Amazon Fresh,144.0,DEBIT,Groceries
2022-04-16,Water Bill,1469.0,DEBIT,Utilities
2022-04-17,Amazon Fresh,1056.0,DEBIT,Groceries
2022-04-17,Flipkart,2842.0,DEBIT,Shopping
2022-04-17,Mahanagar Gas,455.0,DEBIT,Utilities
2022-04-17,IRCTC,328.0,DEBIT,Transport
2022-04-17,INOX,734.0,DEBIT,Entertainment
2022-04-17,DMart,940.0,DEBIT,Groceries
2022-04-18,Indian Oil,451.0,DEBIT,Transport
2022-04-18,Taj Hotel,4186.0,DEBIT,Travel
2022-04-18,Blinkit,683.0,DEBIT,Groceries
2022-04-18,IRCTC (High Value),15283.0,DEBIT,Transport
2022-04-18,Ola Cab,469.0,DEBIT,Transport
2022-04-19,HP Petrol Pump,354.0,DEBIT,Transport
2022-04-19,Blinkit,987.0,DEBIT,Groceries
2022-04-19,IRCTC,420.0,DEBIT,Transport
2022-04-19,Auto Rickshaw,238.0,DEBIT,Transport
2022-04-19,BEST Bus Ticket,107.0,DEBIT,Transport
2022-04-21,Indian Oil,75.0,DEBIT,Transport
2022-05-01,Monthly Paycheck,91054.0,CREDIT,Salary
2022-05-01,BEST Bus Ticket,373.0,DEBIT,Transport
2022-05-01,Mumbai Metro,570.0,DEBIT,Transport
2022-05-01,Airtel Postpaid,1619.0,DEBIT,Utilities
2022-05-01,Croma,1783.0,DEBIT,Shopping
2022-05-01,Netflix Subscription,586.0,DEBIT,Entertainment
2022-05-02,Croma,1579.0,DEBIT,Shopping
2022-05-02,Local Cafe,997.0,DEBIT,Restaurants
2022-05-02,DMart,524.0,DEBIT,Groceries
2022-05-02,DMart,1056.0,DEBIT,Groceries
2022-05-02,Cafe Coffee Day,376.0,DEBIT,Coffee Shops
2022-05-02,Apartment Maintenance,20806.0,DEBIT,Rent
2022-05-02,Blinkit,103.0,DEBIT,Groceries
2022-05-03,Flipkart,639.0,DEBIT,Shopping
2022-05-03,Amazon,1205.0,DEBIT,Shopping
2022-05-03,McDonalds,761.0,DEBIT,Restaurants
2022-05-03,BSNL Broadband,1105.0,DEBIT,Utilities
2022-05-03,Auto Rickshaw,408.0,DEBIT,Transport
2022-05-04,Local Grocery,899.0,DEBIT,Groceries
2022-05-04,Zomato,1662.0,DEBIT,Restaurants
2022-05-04,Cafe Coffee Day,184.0,DEBIT,Coffee Shops
2022-05-04,Luxury Dominos,23309.0,DEBIT,Restaurants
2022-05-04,BigBasket,928.0,DEBIT,Groceries
2022-05-04,BigBasket,1154.0,DEBIT,Groceries
2022-05-05,DMart,340.0,DEBIT,Groceries
2022-05-05,Mumbai Metro,561.0,DEBIT,Transport
2022-05-05,Zepto,1114.0,DEBIT,Groceries
2022-05-05,Airtel Postpaid,664.0,DEBIT,Utilities
2022-05-05,Dominos,406.0,DEBIT,Restaurants
2022-05-05,Groww SIP,6989.0,DEBIT,Investment
2022-05-05,McDonalds,1469.0,DEBIT,Restaurants
2022-05-05,DMart,589.0,DEBIT,Groceries
2022-05-06,Donation,360.0,DEBIT,Miscellaneous
2022-05-06,Amazon Fresh,785.0,DEBIT,Groceries
2022-05-06,IRCTC,79.0,DEBIT,Transport
2022-05-06,Local Grocery,1034.0,DEBIT,Groceries
2022-05-06,Local Grocery,758.0,DEBIT,Groceries
2022-05-07,Bajaj Finserv EMI,7505.0,DEBIT,EMI
2022-05-07,DMart,1011.0,DEBIT,Groceries
2022-05-07,Blinkit,578.0,DEBIT,Groceries
2022-05-07,Mumbai Metro (High Value),28518.0,DEBIT,Transport
2022-05-07,Zepto,207.0,DEBIT,Groceries
2022-05-08,Amazon Fresh,347.0,DEBIT,Groceries
2022-05-08,Uber Ride,519.0,DEBIT,Transport
2022-05-08,Auto Rickshaw,448.0,DEBIT,Transport
2022-05-08,Water Bill,1220.0,DEBIT,Utilities
2022-05-08,Office Canteen Coffee,252.0,DEBIT,Coffee Shops
2022-05-08,Uber Ride,37.0,DEBIT,Transport
2022-05-09,Auto Rickshaw,564.0,DEBIT,Transport
2022-05-09,Netflix Subscription,867.0,DEBIT,Entertainment
2022-05-09,Uber Ride,403.0,DEBIT,Transport
2022-05-09,Indian Oil,135.0,DEBIT,Transport
2022-05-09,IRCTC,250.0,DEBIT,Transport
2022-05-10,Dinner out,1630.0,DEBIT,Restaurants
2022-05-10,Swiggy,1246.0,DEBIT,Restaurants
2022-05-10,Child Care,914.0,DEBIT,Miscellaneous
2022-05-10,Cafe Coffee Day,438.0,DEBIT,Coffee Shops
2022-05-11,Milk Subscription,152.0,DEBIT,Groceries
2022-05-11,INOX,843.0,DEBIT,Entertainment
2022-05-11,Blinkit,689.0,DEBIT,Groceries
2022-05-11,Swiggy,1447.0,DEBIT,Restaurants
2022-05-11,Local Grocery,617.0,DEBIT,Groceries
2022-05-11,Blinkit,457.0,DEBIT,Groceries
2022-05-11,JioCinema,882.0,DEBIT,Entertainment
2022-05-12,Auto Rickshaw,539.0,DEBIT,Transport
2022-05-12,Flipkart,2876.0,DEBIT,Shopping
2022-05-12,Indian Oil,402.0,DEBIT,Transport
